Zeitraum, Grundfreibetrag, Inflationsbereinigt 2025
1990,2871,5726
1991,2871,5522
1992,2871,5522
1993,2871,5522
1994,2871,5522
1995,2871,5522
1996,6184,10243
1997,6184,10243
1998,6322,10175
1999,6681,10689
2000,6902,10889
2001,7206,11146
2002,7235,11147
2003,7235,11147
2004,7664,11382
2005,7664,11214
2006,7664,11214
2007,7664,10789
2008,7664,10789
2009,7834,10717
2010,8004,10830
2011,8004,10830
2012,8004,10830
2013,8130,10417
2014,8354,10598
2015,8472,10694
2016,8652,10867
2017,8820,10914
2018,9000,10940
2019,9168,10991
2020,9408,11213
2021,9744,11274
2022,10387,11242
2023,10908,11148
2024,11784,11784
2025,12096,12096
2026,12384,12384
